# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three semicolon-separated fields: fullform;baseform;postags
#from Freeling
#separatorRegExp=;
Plaigne;Plaigne;Z e sp
Plailly;Plailly;Z e sp
Plaine;Plaine;Z e sp
Plainemont;Plainemont;Z e sp
Plainfaing;Plainfaing;Z e sp
Plainoiseau;Plainoiseau;Z e sp
Plaintel;Plaintel;Z e sp
Plainval;Plainval;Z e sp
Plainville;Plainville;Z e sp
Plaisance;Plaisance;Z e sp
Plaisia;Plaisia;Z e sp
Plaisians;Plaisians;Z e sp
Plaisir;Plaisir;Z e sp
Plaissan;Plaissan;Z e sp
Plan;Plan;Z e sp
Planaise;Planaise;Z e sp
Planay;Planay;Z e sp
Plancherine;Plancherine;Z e sp
Planches;Planches;Z e sp
Planchez;Planchez;Z e sp
Plancoët;Plancoët;Z e sp
Planfoy;Planfoy;Z e sp
Planioles;Planioles;Z e sp
Planquery;Planquery;Z e sp
Planques;Planques;Z e sp
Planrupt;Planrupt;Z e sp
Planty;Planty;Z e sp
Planzolles;Planzolles;Z e sp
Planès;Planès;Z e sp
Planèzes;Planèzes;Z e sp
Plappeville;Plappeville;Z e sp
Plasne;Plasne;Z e sp
Plasnes;Plasnes;Z e sp
Plassac;Plassac;Z e sp
Plassay;Plassay;Z e sp
Plateaud'Hauteville;Plateaud'Hauteville;Z e sp
Plats;Plats;Z e sp
Plaudren;Plaudren;Z e sp
Plauzat;Plauzat;Z e sp
Plavilla;Plavilla;Z e sp
Plazac;Plazac;Z e sp
Pleaux;Pleaux;Z e sp
Plerguer;Plerguer;Z e sp
Plerneuf;Plerneuf;Z e sp
Plescop;Plescop;Z e sp
Plesder;Plesder;Z e sp
Plesnois;Plesnois;Z e sp
Plesnoy;Plesnoy;Z e sp
Plessé;Plessé;Z e sp
Plestan;Plestan;Z e sp
Pleubian;Pleubian;Z e sp
Pleucadeuc;Pleucadeuc;Z e sp
Pleudaniel;Pleudaniel;Z e sp
Pleugriffet;Pleugriffet;Z e sp
Pleugueneuc;Pleugueneuc;Z e sp
Pleumartin;Pleumartin;Z e sp
Pleumeleuc;Pleumeleuc;Z e sp
Pleure;Pleure;Z e sp
Pleurs;Pleurs;Z e sp
Pleurtuit;Pleurtuit;Z e sp
Pleuven;Pleuven;Z e sp
Pleuvezain;Pleuvezain;Z e sp
Pleuville;Pleuville;Z e sp
Pleyben;Pleyben;Z e sp
Pliboux;Pliboux;Z e sp
Plichancourt;Plichancourt;Z e sp
Plieux;Plieux;Z e sp
Plivot;Plivot;Z e sp
Plobsheim;Plobsheim;Z e sp
Ploemel;Ploemel;Z e sp
Ploemeur;Ploemeur;Z e sp
Ploeren;Ploeren;Z e sp
Plogoff;Plogoff;Z e sp
Plogonnec;Plogonnec;Z e sp
Ploisy;Ploisy;Z e sp
Plomelin;Plomelin;Z e sp
Plomeur;Plomeur;Z e sp
Plomion;Plomion;Z e sp
Plomodiern;Plomodiern;Z e sp
Plonéis;Plonéis;Z e sp
Plottes;Plottes;Z e sp
Plou;Plou;Z e sp
Plouaret;Plouaret;Z e sp
Plouarzel;Plouarzel;Z e sp
Plouasne;Plouasne;Z e sp
Plouay;Plouay;Z e sp
Ploubazlanec;Ploubazlanec;Z e sp
Ploubezre;Ploubezre;Z e sp
Ploudalmézeau;Ploudalmézeau;Z e sp
Ploudaniel;Ploudaniel;Z e sp
Ploudiry;Ploudiry;Z e sp
Plouescat;Plouescat;Z e sp
Plouezoc'h;Plouezoc'h;Z e sp
Ploufragan;Ploufragan;Z e sp
Plougar;Plougar;Z e sp
Plougasnou;Plougasnou;Z e sp
Plougonvelin;Plougonvelin;Z e sp
Plougonven;Plougonven;Z e sp
Plougonver;Plougonver;Z e sp
Plougoulm;Plougoulm;Z e sp
Plougoumelen;Plougoumelen;Z e sp
Plougourvest;Plougourvest;Z e sp
Plougras;Plougras;Z e sp
Plougrescant;Plougrescant;Z e sp
Plouguerneau;Plouguerneau;Z e sp
Plouguernével;Plouguernével;Z e sp
Plouguiel;Plouguiel;Z e sp
Plouguin;Plouguin;Z e sp
Plouha;Plouha;Z e sp
Plouharnel;Plouharnel;Z e sp
Plouhinec;Plouhinec;Z e sp
Plouider;Plouider;Z e sp
Plouigneau;Plouigneau;Z e sp
Plouisy;Plouisy;Z e sp
Ploulec'h;Ploulec'h;Z e sp
Ploumagoar;Ploumagoar;Z e sp
Ploumilliau;Ploumilliau;Z e sp
Ploumoguer;Ploumoguer;Z e sp
Plounérin;Plounérin;Z e sp
Plounéventer;Plounéventer;Z e sp
Plounévézel;Plounévézel;Z e sp
Plourac'h;Plourac'h;Z e sp
Plouray;Plouray;Z e sp
Plourhan;Plourhan;Z e sp
Plourin;Plourin;Z e sp
Plourivo;Plourivo;Z e sp
Plouvain;Plouvain;Z e sp
Plouvara;Plouvara;Z e sp
Plouvien;Plouvien;Z e sp
Plouvorn;Plouvorn;Z e sp
Plouyé;Plouyé;Z e sp
Plouzané;Plouzané;Z e sp
Plouzélambre;Plouzélambre;Z e sp
Plouzévédé;Plouzévédé;Z e sp
Plouédern;Plouédern;Z e sp
Plouénan;Plouénan;Z e sp
Plouézec;Plouézec;Z e sp
Plovan;Plovan;Z e sp
Plozévet;Plozévet;Z e sp
Ploéven;Ploéven;Z e sp
Ploërdut;Ploërdut;Z e sp
Ploërmel;Ploërmel;Z e sp
Ploëzal;Ploëzal;Z e sp
Pludual;Pludual;Z e sp
Pluduno;Pluduno;Z e sp
Plufur;Plufur;Z e sp
Pluguffan;Pluguffan;Z e sp
Pluherlin;Pluherlin;Z e sp
Plumaudan;Plumaudan;Z e sp
Plumaugat;Plumaugat;Z e sp
Plumelec;Plumelec;Z e sp
Plumelin;Plumelin;Z e sp
Plumergat;Plumergat;Z e sp
Plumetot;Plumetot;Z e sp
Plumieux;Plumieux;Z e sp
Plumont;Plumont;Z e sp
Pluneret;Pluneret;Z e sp
Plurien;Plurien;Z e sp
Plusquellec;Plusquellec;Z e sp
Plussulien;Plussulien;Z e sp
Pluvet;Pluvet;Z e sp
Pluvigner;Pluvigner;Z e sp
Pluzunet;Pluzunet;Z e sp
Pléboulle;Pléboulle;Z e sp
Pléchâtel;Pléchâtel;Z e sp
Plédran;Plédran;Z e sp
Plédéliac;Plédéliac;Z e sp
Pléguien;Pléguien;Z e sp
Pléhédel;Pléhédel;Z e sp
Plélauff;Plélauff;Z e sp
Plélo;Plélo;Z e sp
Plémet;Plémet;Z e sp
Plémy;Plémy;Z e sp
Plénise;Plénise;Z e sp
Plénisette;Plénisette;Z e sp
Plérin;Plérin;Z e sp
Plésidy;Plésidy;Z e sp
Pléven;Pléven;Z e sp
Plévenon;Plévenon;Z e sp
Plévin;Plévin;Z e sp
Pocancy;Pocancy;Z e sp
Podensac;Podensac;Z e sp
Poggiolo;Poggiolo;Z e sp
Pogny;Pogny;Z e sp
Poigny;Poigny;Z e sp
Poil;Poil;Z e sp
Poilhes;Poilhes;Z e sp
Poilley;Poilley;Z e sp
Poilly;Poilly;Z e sp
Poincy;Poincy;Z e sp
Poinsenot;Poinsenot;Z e sp
Pointel;Pointel;Z e sp
Pointre;Pointre;Z e sp
Poinville;Poinville;Z e sp
Poiroux;Poiroux;Z e sp
Poisat;Poisat;Z e sp
Poiseul;Poiseul;Z e sp
Poiseux;Poiseux;Z e sp
Poisieux;Poisieux;Z e sp
Poisson;Poisson;Z e sp
Poissons;Poissons;Z e sp
Poissy;Poissy;Z e sp
Poisvilliers;Poisvilliers;Z e sp
Poisy;Poisy;Z e sp
Poitiers;Poitiers;Z e sp
Poivres;Poivres;Z e sp
Poix;Poix;Z e sp
Polastron;Polastron;Z e sp
Polignac;Polignac;Z e sp
Poligny;Poligny;Z e sp
Poligné;Poligné;Z e sp
Polincove;Polincove;Z e sp
Polisot;Polisot;Z e sp
Polisy;Polisy;Z e sp
Poliénas;Poliénas;Z e sp
Pollestres;Pollestres;Z e sp
Polliat;Polliat;Z e sp
Pollieu;Pollieu;Z e sp
Pollionnay;Pollionnay;Z e sp
Polminhac;Polminhac;Z e sp
Polveroso;Polveroso;Z e sp
Pomacle;Pomacle;Z e sp
Pomarez;Pomarez;Z e sp
Pomarède;Pomarède;Z e sp
Pomas;Pomas;Z e sp
Pomayrols;Pomayrols;Z e sp
Pomerol;Pomerol;Z e sp
Pomeys;Pomeys;Z e sp
Pommard;Pommard;Z e sp
Pommera;Pommera;Z e sp
Pommeret;Pommeret;Z e sp
Pommereuil;Pommereuil;Z e sp
Pommereux;Pommereux;Z e sp
Pommerieux;Pommerieux;Z e sp
Pommerol;Pommerol;Z e sp
Pommeréval;Pommeréval;Z e sp
Pommeuse;Pommeuse;Z e sp
Pommevic;Pommevic;Z e sp
Pommier;Pommier;Z e sp
Pommiers;Pommiers;Z e sp
Pommérieux;Pommérieux;Z e sp
Pomoy;Pomoy;Z e sp
Pompaire;Pompaire;Z e sp
Pompertuzat;Pompertuzat;Z e sp
Pompey;Pompey;Z e sp
Pompiac;Pompiac;Z e sp
Pompierre;Pompierre;Z e sp
Pompiey;Pompiey;Z e sp
Pompignac;Pompignac;Z e sp
Pompignan;Pompignan;Z e sp
Pompogne;Pompogne;Z e sp
Pomponne;Pomponne;Z e sp
Pomport;Pomport;Z e sp
Pomps;Pomps;Z e sp
Pompéjac;Pompéjac;Z e sp
Pomy;Pomy;Z e sp
Pomérols;Pomérols;Z e sp
Ponchon;Ponchon;Z e sp
Poncin;Poncin;Z e sp
Poncins;Poncins;Z e sp
Pondaurat;Pondaurat;Z e sp
Pons;Pons;Z e sp
Ponsampère;Ponsampère;Z e sp
Ponsas;Ponsas;Z e sp
Ponsonnas;Ponsonnas;Z e sp
Pont;Pont;Z e sp
Pontacq;Pontacq;Z e sp
Pontaix;Pontaix;Z e sp
Pontarion;Pontarion;Z e sp
Pontarlier;Pontarlier;Z e sp
Pontarmé;Pontarmé;Z e sp
Pontaubault;Pontaubault;Z e sp
Pontaubert;Pontaubert;Z e sp
Pontaumur;Pontaumur;Z e sp
Pontavert;Pontavert;Z e sp
Pontcarré;Pontcarré;Z e sp
Pontcey;Pontcey;Z e sp
Pontchardon;Pontchardon;Z e sp
Pontcharra;Pontcharra;Z e sp
Pontcharraud;Pontcharraud;Z e sp
Pontchâteau;Pontchâteau;Z e sp
Pontcirq;Pontcirq;Z e sp
Ponteilla;Ponteilla;Z e sp
Pontevès;Pontevès;Z e sp
Pontgibaud;Pontgibaud;Z e sp
Pontgouin;Pontgouin;Z e sp
Ponthion;Ponthion;Z e sp
Ponthoile;Ponthoile;Z e sp
Ponthévrard;Ponthévrard;Z e sp
Pontigny;Pontigny;Z e sp
Pontis;Pontis;Z e sp
Pontivy;Pontivy;Z e sp
Pontlevoy;Pontlevoy;Z e sp
Pontmain;Pontmain;Z e sp
Pontoise;Pontoise;Z e sp
Pontorson;Pontorson;Z e sp
Pontours;Pontours;Z e sp
Pontoux;Pontoux;Z e sp
Pontoy;Pontoy;Z e sp
Pontpierre;Pontpierre;Z e sp
Pontpoint;Pontpoint;Z e sp
Pontrieux;Pontrieux;Z e sp
Pontru;Pontru;Z e sp
Pontruet;Pontruet;Z e sp
Ponts;Ponts;Z e sp
PontssurSeulles;PontssurSeulles;Z e sp
Pontvallain;Pontvallain;Z e sp
Pontécoulant;Pontécoulant;Z e sp
Popian;Popian;Z e sp
Popolasca;Popolasca;Z e sp
Porcaro;Porcaro;Z e sp
Porcelette;Porcelette;Z e sp
Porcheux;Porcheux;Z e sp
Porcheville;Porcheville;Z e sp
Porchères;Porchères;Z e sp
Pordic;Pordic;Z e sp
Pornic;Pornic;Z e sp
Pornichet;Pornichet;Z e sp
Porquéricourt;Porquéricourt;Z e sp
Porri;Porri;Z e sp
Porspoder;Porspoder;Z e sp
Port;Port;Z e sp
Porta;Porta;Z e sp
PortedesPierresDorées;PortedesPierresDorées;Z e sp
PorteduRied;PorteduRied;Z e sp
Portes;Portes;Z e sp
Portet;Portet;Z e sp
Portets;Portets;Z e sp
Portieux;Portieux;Z e sp
Portiragnes;Portiragnes;Z e sp
Posanges;Posanges;Z e sp
Poses;Poses;Z e sp
Possesse;Possesse;Z e sp
Postroff;Postroff;Z e sp
Potangis;Potangis;Z e sp
Potelières;Potelières;Z e sp
Potelle;Potelle;Z e sp
Pothières;Pothières;Z e sp
Potigny;Potigny;Z e sp
Potte;Potte;Z e sp
Pouant;Pouant;Z e sp
Pouançay;Pouançay;Z e sp
Poubeau;Poubeau;Z e sp
Poucharramet;Poucharramet;Z e sp
Poudenas;Poudenas;Z e sp
Poudenx;Poudenx;Z e sp
Poudis;Poudis;Z e sp
Poueyferré;Poueyferré;Z e sp
Pougnadoresse;Pougnadoresse;Z e sp
Pougny;Pougny;Z e sp
Pougy;Pougy;Z e sp
Pouillac;Pouillac;Z e sp
Pouillat;Pouillat;Z e sp
Pouillenay;Pouillenay;Z e sp
Pouillon;Pouillon;Z e sp
Pouilloux;Pouilloux;Z e sp
Pouilly;Pouilly;Z e sp
Pouillé;Pouillé;Z e sp
Poujols;Poujols;Z e sp
Poulaines;Poulaines;Z e sp
Poulainville;Poulainville;Z e sp
Poulangy;Poulangy;Z e sp
Pouldergat;Pouldergat;Z e sp
Pouldreuzic;Pouldreuzic;Z e sp
Pouliacq;Pouliacq;Z e sp
Poullaouen;Poullaouen;Z e sp
Poullignac;Poullignac;Z e sp
Poulx;Poulx;Z e sp
Poumarous;Poumarous;Z e sp
Poupas;Poupas;Z e sp
Poupry;Poupry;Z e sp
Pourcharesses;Pourcharesses;Z e sp
Pourchères;Pourchères;Z e sp
Pourcieux;Pourcieux;Z e sp
Pourcy;Pourcy;Z e sp
Pourlans;Pourlans;Z e sp
Pourrain;Pourrain;Z e sp
Pourrières;Pourrières;Z e sp
Poursac;Poursac;Z e sp
Poussan;Poussan;Z e sp
Poussanges;Poussanges;Z e sp
Poussay;Poussay;Z e sp
Pousseaux;Pousseaux;Z e sp
Poussignac;Poussignac;Z e sp
Pousthomy;Pousthomy;Z e sp
Pouvrai;Pouvrai;Z e sp
Pouxeux;Pouxeux;Z e sp
Pouy;Pouy;Z e sp
Pouyastruc;Pouyastruc;Z e sp
Pouydesseaux;Pouydesseaux;Z e sp
Pouydraguin;Pouydraguin;Z e sp
Pouylebon;Pouylebon;Z e sp
Pouzac;Pouzac;Z e sp
Pouzauges;Pouzauges;Z e sp
Pouzay;Pouzay;Z e sp
Pouze;Pouze;Z e sp
Pouzilhac;Pouzilhac;Z e sp
Pouzol;Pouzol;Z e sp
Pouzolles;Pouzolles;Z e sp
Pouzols;Pouzols;Z e sp
Poyanne;Poyanne;Z e sp
Poyans;Poyans;Z e sp
Poyartin;Poyartin;Z e sp
Poyols;Poyols;Z e sp
Pozières;Pozières;Z e sp
Poëzat;Poëzat;Z e sp
Pradelle;Pradelle;Z e sp
Pradelles;Pradelles;Z e sp
Prades;Prades;Z e sp
Pradettes;Pradettes;Z e sp
Pradiers;Pradiers;Z e sp
Pradinas;Pradinas;Z e sp
Pradines;Pradines;Z e sp
Pradières;Pradières;Z e sp
Pradons;Pradons;Z e sp
Prahecq;Prahecq;Z e sp
Pralong;Pralong;Z e sp
Pranles;Pranles;Z e sp
Pranzac;Pranzac;Z e sp
Praslay;Praslay;Z e sp
Praslin;Praslin;Z e sp
Prasville;Prasville;Z e sp
Prat;Prat;Z e sp
Pratviel;Pratviel;Z e sp
Pray;Pray;Z e sp
Praye;Praye;Z e sp
Prayols;Prayols;Z e sp
Prayssac;Prayssac;Z e sp
Prayssas;Prayssas;Z e sp
Preignac;Preignac;Z e sp
Preignan;Preignan;Z e sp
Preigney;Preigney;Z e sp
Preixan;Preixan;Z e sp
Prendeignes;Prendeignes;Z e sp
Prenois;Prenois;Z e sp
Presle;Presle;Z e sp
Presles;Presles;Z e sp
Presly;Presly;Z e sp
Presnoy;Presnoy;Z e sp
Pressac;Pressac;Z e sp
Pressignac;Pressignac;Z e sp
Pressigny;Pressigny;Z e sp
Pressins;Pressins;Z e sp
Pressy;Pressy;Z e sp
Pretin;Pretin;Z e sp
Preuilly;Preuilly;Z e sp
Preures;Preures;Z e sp
Preuschdorf;Preuschdorf;Z e sp
Preuseville;Preuseville;Z e sp
Prey;Prey;Z e sp
Prez;Prez;Z e sp
Priay;Priay;Z e sp
Priez;Priez;Z e sp
Prignac;Prignac;Z e sp
Prigonrieux;Prigonrieux;Z e sp
Primarette;Primarette;Z e sp
Primelin;Primelin;Z e sp
Primelles;Primelles;Z e sp
Princé;Princé;Z e sp
Pringy;Pringy;Z e sp
Prinquiau;Prinquiau;Z e sp
Printzheim;Printzheim;Z e sp
Prinçay;Prinçay;Z e sp
Prisces;Prisces;Z e sp
Prisches;Prisches;Z e sp
Prissac;Prissac;Z e sp
Prissé;Prissé;Z e sp
Privas;Privas;Z e sp
Privezac;Privezac;Z e sp
Priziac;Priziac;Z e sp
Prizy;Prizy;Z e sp
Proissans;Proissans;Z e sp
Proisy;Proisy;Z e sp
Proix;Proix;Z e sp
Projan;Projan;Z e sp
Promilhanes;Promilhanes;Z e sp
Prompsat;Prompsat;Z e sp
Prondines;Prondines;Z e sp
Pronleroy;Pronleroy;Z e sp
Propiac;Propiac;Z e sp
Propières;Propières;Z e sp
Propriano;Propriano;Z e sp
Prosnes;Prosnes;Z e sp
Prouilly;Prouilly;Z e sp
Proupiary;Proupiary;Z e sp
Prouvais;Prouvais;Z e sp
Prouville;Prouville;Z e sp
Prouvy;Prouvy;Z e sp
Prouzel;Prouzel;Z e sp
Provenchère;Provenchère;Z e sp
Provency;Provency;Z e sp
Proverville;Proverville;Z e sp
Proveysieux;Proveysieux;Z e sp
Proville;Proville;Z e sp
Provin;Provin;Z e sp
Provins;Provins;Z e sp
Proyart;Proyart;Z e sp
Prudemanche;Prudemanche;Z e sp
Prudhomat;Prudhomat;Z e sp
Prugnanes;Prugnanes;Z e sp
Prugny;Prugny;Z e sp
Pruines;Pruines;Z e sp
Prunay;Prunay;Z e sp
Prunet;Prunet;Z e sp
Pruniers;Pruniers;Z e sp
Prunières;Prunières;Z e sp
Pruno;Pruno;Z e sp
Prusy;Prusy;Z e sp
Pruzilly;Pruzilly;Z e sp
Prâlon;Prâlon;Z e sp
Préaux;Préaux;Z e sp
Prébois;Prébois;Z e sp
Précey;Précey;Z e sp
Préchac;Préchac;Z e sp
Précieux;Précieux;Z e sp
Précigné;Précigné;Z e sp
Précilhon;Précilhon;Z e sp
Précy;Précy;Z e sp
Prédefin;Prédefin;Z e sp
Préfailles;Préfailles;Z e sp
Préfontaines;Préfontaines;Z e sp
Prégilbert;Prégilbert;Z e sp
Préguillac;Préguillac;Z e sp
Préhy;Préhy;Z e sp
Prémanon;Prémanon;Z e sp
Prémery;Prémery;Z e sp
Prémesques;Prémesques;Z e sp
Prémeyzel;Prémeyzel;Z e sp
Prémian;Prémian;Z e sp
Prémierfait;Prémierfait;Z e sp
Prémilhat;Prémilhat;Z e sp
Prémillieu;Prémillieu;Z e sp
Prémont;Prémont;Z e sp
Prémontré;Prémontré;Z e sp
Préneron;Préneron;Z e sp
Prény;Prény;Z e sp
Préporché;Préporché;Z e sp
Présailles;Présailles;Z e sp
Préseau;Préseau;Z e sp
Présentevillers;Présentevillers;Z e sp
Préserville;Préserville;Z e sp
Présilly;Présilly;Z e sp
Préty;Préty;Z e sp
Préval;Préval;Z e sp
Prévelles;Prévelles;Z e sp
Prévenchères;Prévenchères;Z e sp
Préveranges;Préveranges;Z e sp
Prévillers;Prévillers;Z e sp
Prévinquières;Prévinquières;Z e sp
Prévocourt;Prévocourt;Z e sp
Prêtreville;Prêtreville;Z e sp
Puberg;Puberg;Z e sp
Publier;Publier;Z e sp
Publy;Publy;Z e sp
Puceul;Puceul;Z e sp
Puchay;Puchay;Z e sp
Puchevillers;Puchevillers;Z e sp
Puechredon;Puechredon;Z e sp
Puessans;Puessans;Z e sp
Puget;Puget;Z e sp
Pugey;Pugey;Z e sp
Puginier;Puginier;Z e sp
Pugnac;Pugnac;Z e sp
Puichéric;Puichéric;Z e sp
Puihardy;Puihardy;Z e sp
Puilacher;Puilacher;Z e sp
Puilaurens;Puilaurens;Z e sp
Puilboreau;Puilboreau;Z e sp
Puimichel;Puimichel;Z e sp
Puimisson;Puimisson;Z e sp
Puimoisson;Puimoisson;Z e sp
Puiseaux;Puiseaux;Z e sp
Puisenval;Puisenval;Z e sp
Puiseux;Puiseux;Z e sp
Puisieulx;Puisieulx;Z e sp
Puisieux;Puisieux;Z e sp
Puissalicon;Puissalicon;Z e sp
Puisseguin;Puisseguin;Z e sp
Puisserguier;Puisserguier;Z e sp
Puits;Puits;Z e sp
Puivert;Puivert;Z e sp
Pujaudran;Pujaudran;Z e sp
Pujaut;Pujaut;Z e sp
Pujo;Pujo;Z e sp
Pujols;Pujols;Z e sp
Pullay;Pullay;Z e sp
Pulligny;Pulligny;Z e sp
Pulney;Pulney;Z e sp
Pulnoy;Pulnoy;Z e sp
Pulversheim;Pulversheim;Z e sp
Pulvérières;Pulvérières;Z e sp
Punchy;Punchy;Z e sp
Punerot;Punerot;Z e sp
Puntous;Puntous;Z e sp
Pupillin;Pupillin;Z e sp
Pure;Pure;Z e sp
Purgerot;Purgerot;Z e sp
Pusey;Pusey;Z e sp
Pusignan;Pusignan;Z e sp
Pussay;Pussay;Z e sp
Pussigny;Pussigny;Z e sp
Puteaux;Puteaux;Z e sp
Puttigny;Puttigny;Z e sp
Puxe;Puxe;Z e sp
Puxieux;Puxieux;Z e sp
Puybarban;Puybarban;Z e sp
Puybegon;Puybegon;Z e sp
Puybrun;Puybrun;Z e sp
Puycalvel;Puycalvel;Z e sp
Puycapel;Puycapel;Z e sp
Puycasquier;Puycasquier;Z e sp
Puycelsi;Puycelsi;Z e sp
Puycornet;Puycornet;Z e sp
Puydaniel;Puydaniel;Z e sp
Puydarrieux;Puydarrieux;Z e sp
Puygiron;Puygiron;Z e sp
Puygouzon;Puygouzon;Z e sp
Puygros;Puygros;Z e sp
Puyjourdes;Puyjourdes;Z e sp
Puylagarde;Puylagarde;Z e sp
Puylaroque;Puylaroque;Z e sp
Puylaurens;Puylaurens;Z e sp
Puylausic;Puylausic;Z e sp
Puyloubier;Puyloubier;Z e sp
Puymaurin;Puymaurin;Z e sp
Puymiclan;Puymiclan;Z e sp
Puymirol;Puymirol;Z e sp
Puymoyen;Puymoyen;Z e sp
Puyméras;Puyméras;Z e sp
Puynormand;Puynormand;Z e sp
Puyoô;Puyoô;Z e sp
Puyravault;Puyravault;Z e sp
Puyrolland;Puyrolland;Z e sp
Puyréaux;Puyréaux;Z e sp
Puysserampion;Puysserampion;Z e sp
Puysségur;Puysségur;Z e sp
Puységur;Puységur;Z e sp
Puyvalador;Puyvalador;Z e sp
Puyvert;Puyvert;Z e sp
Puzeaux;Puzeaux;Z e sp
Puzieux;Puzieux;Z e sp
Puéchabon;Puéchabon;Z e sp
Puéchoursi;Puéchoursi;Z e sp
Py;Py;Z e sp
Pys;Pys;Z e sp
Péas;Péas;Z e sp
Péaule;Péaule;Z e sp
Péault;Péault;Z e sp
Pébrac;Pébrac;Z e sp
Pébées;Pébées;Z e sp
Péchabou;Péchabou;Z e sp
Péchaudier;Péchaudier;Z e sp
Pécorade;Pécorade;Z e sp
Pécy;Pécy;Z e sp
Pédernec;Pédernec;Z e sp
Pégomas;Pégomas;Z e sp
Péguilhan;Péguilhan;Z e sp
Pélissanne;Pélissanne;Z e sp
Pélussin;Pélussin;Z e sp
Pénestin;Pénestin;Z e sp
Péone;Péone;Z e sp
Pépieux;Pépieux;Z e sp
Pérassay;Pérassay;Z e sp
Péreille;Péreille;Z e sp
Pérenchies;Pérenchies;Z e sp
Péret;Péret;Z e sp
Péreyres;Péreyres;Z e sp
Périers;Périers;Z e sp
Pérignac;Pérignac;Z e sp
Périgneux;Périgneux;Z e sp
Périgny;Périgny;Z e sp
Périgné;Périgné;Z e sp
Périgueux;Périgueux;Z e sp
Périssac;Périssac;Z e sp
Pérols;Pérols;Z e sp
Péron;Péron;Z e sp
Péronnas;Péronnas;Z e sp
Péronne;Péronne;Z e sp
Péronville;Péronville;Z e sp
Pérouges;Pérouges;Z e sp
Pérouse;Pérouse;Z e sp
Péré;Péré;Z e sp
Péseux;Péseux;Z e sp
Pévange;Pévange;Z e sp
Pévy;Pévy;Z e sp
Pézarches;Pézarches;Z e sp
Pézenas;Pézenas;Z e sp
Pîtres;Pîtres;Z e sp
Pœuilly;Pœuilly;Z e sp
Quantilly;Quantilly;Z e sp
Quarante;Quarante;Z e sp
Quarouble;Quarouble;Z e sp
Quasquara;Quasquara;Z e sp
Quatremare;Quatremare;Z e sp
Quatzenheim;Quatzenheim;Z e sp
Quaëdypre;Quaëdypre;Z e sp
Queaux;Queaux;Z e sp
Queige;Queige;Z e sp
Quelmes;Quelmes;Z e sp
Quemperven;Quemperven;Z e sp
Quend;Quend;Z e sp
Quenne;Quenne;Z e sp
Quenoche;Quenoche;Z e sp
Quenza;Quenza;Z e sp
Quercamps;Quercamps;Z e sp
Quercitello;Quercitello;Z e sp
Quernes;Quernes;Z e sp
Querrien;Querrien;Z e sp
Querrieu;Querrieu;Z e sp
Quers;Quers;Z e sp
Quesmy;Quesmy;Z e sp
Quesques;Quesques;Z e sp
Quessoy;Quessoy;Z e sp
Questembert;Questembert;Z e sp
Questrecques;Questrecques;Z e sp
Quetigny;Quetigny;Z e sp
Quettehou;Quettehou;Z e sp
Quetteville;Quetteville;Z e sp
Queudes;Queudes;Z e sp
Queuille;Queuille;Z e sp
Quevauvillers;Quevauvillers;Z e sp
Quevillon;Quevillon;Z e sp
Quevilloncourt;Quevilloncourt;Z e sp
Queyrac;Queyrac;Z e sp
Queyrières;Queyrières;Z e sp
Queyssac;Queyssac;Z e sp
Quiberon;Quiberon;Z e sp
Quiberville;Quiberville;Z e sp
Quibou;Quibou;Z e sp
Quiers;Quiers;Z e sp
Quierzy;Quierzy;Z e sp
Quiestède;Quiestède;Z e sp
Quilen;Quilen;Z e sp
Quillan;Quillan;Z e sp
Quilly;Quilly;Z e sp
Quimper;Quimper;Z e sp
Quimperlé;Quimperlé;Z e sp
Quincampoix;Quincampoix;Z e sp
Quincerot;Quincerot;Z e sp
Quincey;Quincey;Z e sp
Quincieu;Quincieu;Z e sp
Quincieux;Quincieux;Z e sp
Quincy;Quincy;Z e sp
Quingey;Quingey;Z e sp
Quinquempoix;Quinquempoix;Z e sp
Quins;Quins;Z e sp
Quinsac;Quinsac;Z e sp
Quinson;Quinson;Z e sp
Quinssaines;Quinssaines;Z e sp
Quintal;Quintal;Z e sp
Quintenas;Quintenas;Z e sp
Quintenic;Quintenic;Z e sp
Quintigny;Quintigny;Z e sp
Quintillan;Quintillan;Z e sp
Quintin;Quintin;Z e sp
Quinçay;Quinçay;Z e sp
Quinéville;Quinéville;Z e sp
Quirbajou;Quirbajou;Z e sp
Quissac;Quissac;Z e sp
Quistinic;Quistinic;Z e sp
Quittebeuf;Quittebeuf;Z e sp
Quivières;Quivières;Z e sp
Quièvrecourt;Quièvrecourt;Z e sp
Quié;Quié;Z e sp
Quiévelon;Quiévelon;Z e sp
Quiévrechain;Quiévrechain;Z e sp
Quiévy;Quiévy;Z e sp
Quéant;Quéant;Z e sp
Québriac;Québriac;Z e sp
Quédillac;Quédillac;Z e sp
Quéménéven;Quéménéven;Z e sp
Quérigut;Quérigut;Z e sp
Quérénaing;Quérénaing;Z e sp
Quéven;Quéven;Z e sp
Quévert;Quévert;Z e sp
Quézac;Quézac;Z e sp
Rabastens;Rabastens;Z e sp
Rabou;Rabou;Z e sp
Rabouillet;Rabouillet;Z e sp
Racines;Racines;Z e sp
